City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
229,Sinnamary,GF,5.3833,-52.95,76.68,88,94,10.27,overcast clouds
230,Diamantino,BR,-14.4086,-56.4461,75.24,76,44,1.79,scattered clouds
231,Portlethen,GB,57.0547,-2.1307,37.47,96,100,9.22,overcast clouds
232,Santa Maria,BR,-29.6842,-53.8069,62.98,94,80,5.17,broken clouds
233,Amapa,BR,1.0,-52.0,72.14,100,100,1.86,overcast clouds
234,Lata,PT,40.1629,-8.3327,54.81,76,100,3.74,overcast clouds
235,Altamira,BR,-3.2033,-52.2064,73.15,96,100,2.1,overcast clouds
236,Chuy,UY,-33.6971,-53.4616,58.71,88,0,6.44,clear sky
237,Acarau,BR,-2.8856,-40.12,77.11,86,94,7.14,overcast clouds
238,Iracoubo,GF,5.4802,-53.2011,76.73,87,91,10.27,overcast clouds
239,Sturgis,US,41.7992,-85.4192,48.45,71,100,11.5,overcast clouds
240,Lesnoye,RU,58.2841,35.5158,27.57,85,100,6.64,overcast clouds
241,Washougal,US,45.5826,-122.3534,57.65,45,0,13.8,clear sky
242,Tiarei,PF,-17.5333,-149.3333,86.0,77,41,23.04,light rain
243,Mahebourg,MU,-20.4081,57.7,79.25,73,40,5.75,scattered clouds
244,Fontem,CM,5.4685,9.8818,67.91,84,86,3.24,overcast clouds
245,Shenzhen,CN,22.5455,114.0683,79.14,73,22,2.66,few clouds
246,San Cristobal,VE,7.7669,-72.225,71.78,96,31,2.89,scattered clouds
247,Umkomaas,ZA,-30.2067,30.7978,67.68,81,72,17.56,broken clouds
248,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,93,100,1.14,light intensity drizzle rain
249,Ixtapa,MX,20.7,-105.2,71.22,86,100,2.33,overcast clouds
250,Nantucket,US,41.2835,-70.0995,45.0,93,75,11.5,broken clouds
251,College,US,64.8569,-147.8028,35.1,53,47,2.89,scattered clouds
252,Sistranda,NO,63.7256,8.834,28.36,66,30,13.69,scattered clouds
253,Yinchuan,CN,38.4681,106.2731,67.35,10,5,6.15,clear sky
254,Maumere,ID,-8.6199,122.2111,86.67,60,61,2.17,broken clouds
255,Ghanzi,BW,-21.5667,21.7833,64.11,45,0,8.95,clear sky
256,Klaksvik,FO,62.2266,-6.589,36.52,71,100,43.13,overcast clouds
257,Omboue,GA,-1.5746,9.2618,76.6,94,100,6.44,overcast clouds
258,Kaeo,NZ,-35.1,173.7833,71.33,55,22,6.62,few clouds
259,Aguimes,ES,27.9054,-15.4461,59.63,51,75,16.11,broken clouds
260,Lincoln,US,40.8,-96.667,45.28,49,40,12.66,scattered clouds
261,Adana,TR,36.985,35.2881,64.42,88,40,4.61,mist
262,Pointe Michel,DM,15.25,-61.3833,77.38,75,42,10.87,scattered clouds
263,Arrifes,PT,37.7667,-25.7,59.25,82,75,21.85,broken clouds
264,Matara,LK,5.9485,80.5353,84.27,62,63,4.43,broken clouds
265,Korsakovo,RU,53.2677,37.3569,33.39,100,100,12.03,snow
266,Savannah Bight,HN,16.45,-85.85,81.43,84,98,29.35,overcast clouds
267,Cody,US,44.5263,-109.0565,34.02,43,0,4.61,clear sky
268,Narnaul,IN,28.0444,76.1083,97.02,5,0,5.19,clear sky
269,Sangar,RU,63.9242,127.4739,13.96,87,100,4.9,overcast clouds
270,Waipawa,NZ,-41.4122,175.5153,52.7,61,89,11.39,overcast clouds
271,Gao,ML,16.6362,1.637,84.4,7,1,10.98,clear sky
272,Kaitangata,NZ,-46.2817,169.8464,56.32,47,55,5.84,broken clouds
273,Matay,EG,28.419,30.7792,73.51,25,27,3.42,scattered clouds
274,Camacha,PT,33.0833,-16.3333,54.82,82,40,6.91,scattered clouds
275,Sechura,PE,-5.5569,-80.8222,71.2,77,40,15.26,scattered clouds
276,Bregovo,BG,44.1517,22.6425,51.28,65,100,5.12,overcast clouds
277,Tanabe,JP,33.7333,135.3667,67.23,51,96,7.9,overcast clouds
278,Ambilobe,MG,-13.2,49.05,75.56,90,75,2.35,broken clouds
279,Bunbury,AU,-33.3333,115.6333,77.81,42,57,10.49,broken clouds
280,Basco,PH,20.4487,121.9702,75.61,81,92,23.06,overcast clouds
281,Jos,NG,9.9167,8.9,70.2,66,53,3.96,broken clouds
282,Ayan,RU,56.45,138.1667,24.33,90,100,12.35,light snow
283,Cooma,AU,-36.2333,149.1333,55.17,100,100,8.05,moderate rain
284,Kindberg,AT,47.5,15.45,48.38,95,100,2.8,overcast clouds
285,Bintulu,MY,3.1667,113.0333,83.39,69,93,6.26,overcast clouds
286,Wilmington,US,34.2257,-77.9447,66.99,88,66,4.0,moderate rain
287,Nyurba,RU,63.2842,118.3319,21.34,79,100,9.64,overcast clouds
288,Karratha,AU,-20.7377,116.8463,94.98,34,9,14.67,clear sky
289,Esperance,AU,-33.8667,121.9,74.07,53,2,7.25,clear sky
290,Hami,CN,42.8,93.45,74.16,10,2,4.83,clear sky
291,Asau,RO,46.4333,26.4,38.32,74,21,2.42,few clouds
292,Bad Liebenwerda,DE,51.5167,13.4,49.68,77,94,17.0,overcast clouds
293,Belmonte,BR,-15.8631,-38.8828,75.97,80,1,4.09,clear sky
294,Yarmouth,US,41.7057,-70.2286,45.0,92,20,11.99,few clouds
295,Rio Grande,BR,-32.035,-52.0986,63.84,84,0,10.16,clear sky
296,Hofn,IS,64.2539,-15.2082,29.03,61,0,21.21,clear sky
297,Gashua,NG,12.871,11.0482,81.64,10,68,9.82,broken clouds
298,Port Macquarie,AU,-31.4333,152.9167,70.09,84,97,10.85,overcast clouds
299,Pauini,BR,-7.7136,-66.9764,73.8,99,100,2.15,overcast clouds
300,Mucuri,BR,-18.0864,-39.5508,77.27,82,38,3.09,scattered clouds
301,Yeppoon,AU,-23.1333,150.7333,85.78,60,45,14.5,scattered clouds
302,Peace River,CA,56.2501,-117.286,38.14,72,73,5.66,broken clouds
303,Yulara,AU,-25.2406,130.9889,84.04,26,0,10.36,clear sky
304,Buala,SB,-8.145,159.5921,84.04,72,98,13.51,light rain
305,Pemba,MZ,-12.974,40.5178,77.7,94,75,1.14,broken clouds
306,Terrace Bay,CA,48.7834,-87.1,34.41,98,100,14.61,snow
307,Madang,PG,-5.2246,145.7966,85.26,73,75,7.18,broken clouds
308,Preobrazheniye,RU,42.9019,133.9064,35.02,92,100,10.42,snow
309,Kutum,SD,14.2,24.6667,73.02,15,5,9.82,clear sky
310,Pochutla,MX,15.7432,-96.4661,76.82,79,33,4.07,scattered clouds
311,La Libertad,EC,-2.2333,-80.9,74.1,83,32,7.99,scattered clouds
312,Brigantine,US,39.4101,-74.3646,47.19,96,100,11.5,overcast clouds
313,Fort Payne,US,34.4442,-85.7197,59.61,70,100,9.22,overcast clouds
314,Deputatskiy,RU,69.3,139.9,-6.07,97,100,5.55,overcast clouds
315,Presidente Medici,BR,-11.1753,-61.9014,73.9,94,97,1.57,overcast clouds
316,Zhuhai,CN,22.2769,113.5678,86.86,68,0,2.3,clear sky
317,Geraldton,AU,-28.7667,114.6,90.01,27,79,16.11,broken clouds
318,Coahuayana,MX,18.7333,-103.6833,68.81,90,100,2.91,overcast clouds
319,Portland,US,45.5234,-122.6762,57.79,47,20,11.01,few clouds
320,Smithers,CA,54.7804,-127.1743,32.32,100,100,4.61,light snow
321,Quang Ngai,VN,15.1167,108.8,78.69,71,90,11.63,overcast clouds
322,Goulburn,AU,-34.75,149.7167,54.64,91,100,15.75,moderate rain
323,Huarmey,PE,-10.0681,-78.1522,69.55,86,73,7.7,broken clouds
324,Olbia,IT,40.9214,9.4856,51.85,76,40,8.05,scattered clouds
325,Prince Rupert,CA,54.3161,-130.3201,37.72,89,100,11.77,light rain
326,Saint-Pierre,RE,-21.3393,55.4781,78.48,78,20,13.8,few clouds
327,Ozernovskiy,RU,51.5,156.5167,37.6,72,100,11.74,overcast clouds
328,Togur,RU,58.3631,82.8265,32.52,79,82,13.35,broken clouds
329,Mehamn,NO,71.0357,27.8492,33.75,86,75,13.8,broken clouds
330,Half Moon Bay,US,37.4636,-122.4286,70.48,46,0,10.36,clear sky
331,Komsomolskiy,UZ,40.4272,71.7189,70.52,35,86,4.61,overcast clouds
332,Riyadh,SA,24.6877,46.7219,77.14,11,17,7.49,few clouds
333,Manama,BH,26.2154,50.5832,82.38,33,0,6.91,clear sky
334,Ginda,IN,30.6945,78.4932,75.87,13,0,5.75,clear sky
335,Dubna,RU,56.7333,37.1667,31.28,79,100,9.33,overcast clouds
336,Manggar,ID,-2.8833,108.2667,85.84,64,88,2.35,moderate rain
337,Verkhoyansk,RU,67.5447,133.385,10.36,73,98,1.63,overcast clouds
338,Yaqui,MX,27.3667,-110.1667,71.1,61,0,10.69,clear sky
339,Wajima,JP,37.4,136.9,54.68,66,87,6.11,overcast clouds
